category_id,category_name,parent_category,url
,Panneau bois et dalle de plancher,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher
,Etanchéité,Isolation et cloison,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/etancheite
,Entretien du jardin,Jardinage et entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin
,Jardinage,Jardinage et entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage
,Coupe du bois,Jardinage et entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/coupe-du-bois
,Colle,Fixation et assemblage,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/fixation-et-assemblage/colle
,Connecteur,Fixation et assemblage,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/fixation-et-assemblage/connecteur
,Cheville,Fixation et assemblage,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/fixation-et-assemblage/cheville
,"Pied, roue et patin",Fixation et assemblage,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/fixation-et-assemblage/pied-roue-et-patin
,Adhésif,Fixation et assemblage,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/fixation-et-assemblage/adhesif
,Scellement chimique,Fixation et assemblage,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation/fixation-et-assemblage/scellement-chimique
,Carré potager,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/carre-potager
,Bac à fleur,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/bac-a-fleur
,Serre de jardin,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/serre-de-jardin
,Composteur,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/composteur
,Tuyau d'arrosage,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/tuyau-d-arrosage
,Enrouleur tuyau d'arrosage,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/enrouleur-tuyau-d-arrosage
,Geotextile,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/geotextile
,Gazon synthétique,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/gazon-synthetique
